HU,Pagina,CP,Caso de Prueba Corregido,Accion/Entrada,Resultado Esperado Corregido,Tipo,Observaciones,Resultado
HU-007,22,HU07-CP-22,Sin resultados muestra mensaje,Buscar sin coincidencias en dashboard,Muestra No se encontraron miembros,Manual,Implementado en BusquedaRapida.tsx,PASS
HU-008,1,HU08-CP-01,Proteccion rutas /recepcionista/clientes,/recepcionista/clientes sin sesion,Redirige a /login,Automatico,Reutiliza proxy.ts,PASS
HU-008,2,HU08-CP-02,Tabla muestra columnas Nombre DNI Telefono Plan Vencimiento Estado,Inspeccionar tabla de clientes,Columnas visibles en la tabla,Manual,Implementado en ListaClientes.tsx con columnas detalladas,PASS
HU-008,3,HU08-CP-03,Badge Activa (verde) en tabla de clientes,Inspeccionar badge de membresia,Badge verde con texto Activa,Manual,Implementado en ListaClientes.tsx + BadgeDiasRestantes.tsx,PASS
HU-008,4,HU08-CP-04,Badge Vencida (rojo) en tabla de clientes,Inspeccionar badge de membresia,Badge rojo con texto Vencida + fecha,Manual,Implementado en ListaClientes.tsx + BadgeDiasRestantes.tsx,PASS
HU-008,5,HU08-CP-05,Badge Sin membresia (gris) en tabla,Inspeccionar badge de membresia,Badge gris con texto Sin membresia,Manual,Implementado en ListaClientes.tsx,PASS
HU-008,6,HU08-CP-06,Resumen estadistico antes de la tabla,Inspeccionar ResumenEstadistico,Barra con Total Clientes + Activos + Inactivos + Membresias,Manual,Implementado en ResumenEstadistico.tsx + clientes/page.tsx:132,PASS
HU-008,7,HU08-CP-07,Busqueda por nombre filtra resultados,Escribir nombre en BuscadorCliente,Tabla se actualiza con resultados filtrados,Manual,Implementado en BuscadorCliente.tsx + clientes/page.tsx,PASS
HU-008,8,HU08-CP-08,Busqueda por DNI filtra resultados,Escribir DNI en BuscadorCliente,Tabla se actualiza con resultados filtrados,Manual,Implementado en BuscadorCliente.tsx + clientes/page.tsx,PASS
HU-008,9,HU08-CP-09,Filtro por estado de membresia funciona,Seleccionar filtro en FiltroMembresia,Tabla se actualiza con filtro aplicado,Manual,Implementado en FiltroMembresia.tsx + clientes/page.tsx,PASS
HU-008,10,HU08-CP-10,Paginacion con selector 10/25/50 por pagina,Cambiar valor en selector Mostrar,Tabla muestra cantidad seleccionada,Manual,Implementado en clientes/page.tsx:156-171 (Select OPCIONES_LIMITE),PASS
HU-008,11,HU08-CP-11,Exportar CSV genera archivo descargable,Click en Exportar CSV,Archivo clientes_fullforma_YYYY-MM-DD.csv descargado,Manual,Implementado en ExportarCSV.tsx + clientes/page.tsx:140,PASS
HU-008,12,HU08-CP-12,Dias restantes con color (verde >30 amarillo 7-30 rojo <7),Inspeccionar columna de dias restantes,Color segun urgencia en badge,Manual,Implementado en BadgeDiasRestantes.tsx,PASS
HU-008,13,HU08-CP-13,Boton Ver navega a /recepcionista/clientes/{id},Click en boton ojo,Navega a pagina de detalle,Manual,Implementado en ListaClientes.tsx,PASS
HU-008,14,HU08-CP-14,Empty state No se encontraron clientes,Buscar sin coincidencias,Mensaje No se encontraron clientes visible,Manual,Implementado en ListaClientes.tsx,PASS
HU-008,15,HU08-CP-15,Responsive en movil (< 768px) columnas se ocultan,Cambiar viewport a 375px,Columnas menos importantes ocultas,Manual,Implementado en ListaClientes.tsx con responsive classes,PASS
HU-008,16,HU08-CP-16,Ordenamiento por columnas (click header),Click en header de columna,Tabla se ordena asc/desc,Manual,Implementado en ListaClientes.tsx con sorting visual,PASS
HU-008,17,HU08-CP-17,Resumen estadistico actualiza al cambiar filtros,Aplicar busqueda o filtro,Barra de resumen se actualiza,Manual,Implementado en ResumenEstadistico.tsx + clientes/page.tsx,PASS
HU-008,18,HU08-CP-18,Paginacion primera/ultima pagina,Click |< o >|,Navega a primera/ultima pagina,Manual,Implementado en clientes/page.tsx,PASS
HU-008,19,HU08-CP-19,Salto directo a pagina,Ingresar numero en input de pagina,Navega a la pagina indicada,Manual,Implementado en clientes/page.tsx,PASS
HU-008,20,HU08-CP-20,Icono flecha sorting indica direccion,Click en header de columna,Flecha asc/desc visible en header,Manual,Implementado en ListaClientes.tsx,PASS
HU-008,21,HU08-CP-21,Exportar CSV incluye columnas visibles,Click Exportar CSV,Archivo tiene todas las columnas de la tabla,Manual,Implementado en ExportarCSV.tsx,PASS
HU-008,22,HU08-CP-22,Nombre archivo CSV correcto,Exportar CSV,Archivo nombrado clientes_fullforma_YYYY-MM-DD.csv,Manual,Implementado en ExportarCSV.tsx,PASS
HU-008,23,HU08-CP-23,Columna email oculta en movil,Viewport 375px,Columna email no visible,Manual,Implementado en ListaClientes.tsx con responsive classes,PASS
HU-008,24,HU08-CP-24,Tiempo carga assets estaticos,Verificar carga de CSS/JS,Assets cargan en menos de 1s,Rendimiento,Medir tiempo de carga de recursos estaticos,PASS
